ISBN,Title,Author,Date Published,MSRP,New,Used
9780826211712,"The Dying President: Franklin D. Roosevelt, 1944-1945","Ferrell, Robert H.",1998,34.95,23.6,4.49
9780465024643,The New Dealers' War: Franklin D. Roosevelt and the War Within World War II,"Fleming, Thomas",2001,35,24.11,4.49
9780743227315,I Rose Like a Rocket: The Political Education of Theodore Roosevelt,"Grondahl, Paul",2004,1.99,7.39,4.49
9781568520919,Roosevelt: The Soldier of Freedom (1940-1945),James MacGregor Burns,1999,1.99,52.88,4.49
9780307700230,The Roosevelts: An Intimate History,"Ward, Geoffrey C.",2014,60,21.12,4.49
9780307700230,The Roosevelts: An Intimate History,"Ward, Geoffrey C.",2014,60,21.12,4.49
9780811817066,The Franklin Delano Roosevelt Memorial,"Halprin, Lawrence",1997,1.99,9.99,4.49
9780465024643,The New Dealers' War: Franklin D. Roosevelt and the War Within World War II,"Fleming, Thomas",2001,35,24.11,4.49
9781605982854,Roosevelt's Navy,"de Kay, James Tertius",2012,27.95,13.49,4.49
9780826211712,"The Dying President: Franklin D. Roosevelt, 1944-1945","Ferrell, Robert H.",1998,34.95,23.6,4.49
9781402217166,Together We Cannot Fail: FDR and the American Presidency in Years of Crisis,"Golway, Terry",2009,29.99,10.31,4.46
9780679415411,FDR: Into the Storm 1937-1940,"Davis, Kenneth S.",1993,35,32.98,4.45
9780679415411,FDR: Into the Storm 1937-1940,"Davis, Kenneth S.",1993,35,32.98,4.45
9780316292610,Franklin D. Roosevelt: A Rendezvous with Destiny,"Freidel, Frank",1991,0.00,14.55,4.44
9781846882944,Hot Dogs and Cocktails: When FDR Met King George VI at Hyde Park on Hudson,"Conradi, Peter",2013,0.00,21.04,4.41
9780385187169,Dealers and Dreamers: A New Look at the New Deal,"Lash, Joseph P.",1988,24.95,14.85,4.38
9780306821189,"Young Mr. Roosevelt: FDR's Introduction to War, Politics, and Life","Weintraub, Stanley",2013,27,8.0,4.38
9780385187169,Dealers and Dreamers: A New Look at the New Deal,"Lash, Joseph P.",1988,24.95,14.85,4.38
9780671642402,No Ordinary Time: Franklin and Eleanor Roosevelt:  The Home Front in World War II,"Goodwin, Doris Kearns",1994,30,15.99,4.38
9780671642402,No Ordinary Time: Franklin and Eleanor Roosevelt:  The Home Front in World War II,"Goodwin, Doris Kearns",1994,30,15.99,4.38
9780385187169,Dealers and Dreamers: A New Look at the New Deal,"Lash, Joseph P.",1988,24.95,14.85,4.38
9780671642402,No Ordinary Time: Franklin and Eleanor Roosevelt:  The Home Front in World War II,"Goodwin, Doris Kearns",1994,30,15.99,4.38
9781586481124,"Five Days in Philadelphia: The Amazing ""We Want Willkie!"" Convention of 1940 and How It Freed FDR to Save the Western World","Peters, Charles",2005,26,9.99,4.34
9781595554574,December 1941: 31 Days That Changed America and Saved the World,Craig Shirley,2011,24.99,19.74,4.3
9780230619142,"FDR's Funeral Train: A Betrayed Widow, a Soviet Spy, and a Presidency in the Balance","Klara, Robert",2010,27,32.27,4.28
9780826209108,"FDR & Stalin: A Not So Grand Alliance, 1943–1945","Perlmutter, Amos",1993,50,13.49,4.1
9780146001000,Fireside Chats,Franklin D Roosevelt,1995,0.95,8.19,4.09
9780802715890,FDR v. The Constitution: The Court-Packing Fight and the Triumph of Democracy,"Solomon, Burt",2008,27,18.84,4.09
9780688067847,Theodore Roosevelt: A Life,"Miller, Nathan",1992,27.5,19.67,4.09
9780684843407,For the Survival of Democracy: Franklin Roosevelt and the World Crisis of the 1930s,Alonzo L. Hamby,2004,1.99,20.95,4.09
9780306821134,FINAL VICTORY: FDR's Extraordinary World War II Presidential Campaign,"Weintraub, Stanley",2012,26,13.94,4.09
9780517189979,The Essential Franklin Delano Roosevelt,John Gabriel Hunt,1996,0.00,11.12,4.07
9780312135058,The Greatest of Friends: Franklin D. Roosevelt and Winston Churchill 1941-1945,"Alldritt, Keith",1995,1.99,53.22,4.03
9780316924535,The Great Depression: America in the 1930s,"Watkins, T. H.",1993,24.95,11.0,4.0
9780674197374,A Democracy at War: America's Fight at Home and Abroad in World War II,"O'Neill, William L.",1998,32,20.74,4.0
9780671652258,The Roosevelts: An American Saga,"Collier, Peter",1994,27.5,5.31,4.0
9780393088885,"The Sphinx: Franklin Roosevelt, the Isolationists, and the Road to World War II","Wapshott, Nicholas",2014,0.00,9.75,4.0
9781568520889,Roosevelt: The Lion and the Fox,"Burns, James MacGregor",1984,1.99,41.82,4.0
9780393088885,"The Sphinx: Franklin Roosevelt, the Isolationists, and the Road to World War II","Wapshott, Nicholas",2014,0.00,9.75,4.0
9780899193793,Franklin Delano Roosevelt,"Freedman, Russell",1990,0.00,20.74,3.99
9780517586440,Pearl Harbor: Final Judgement,Henry C. Clausen,1992,1.99,8.15,3.99
9780544279117,"Commander in Chief: FDR's Battle with Churchill, 1943 (FDR at War)","Hamilton, Nigel",2016,30,15.88,3.98
9780471459620,"The Roosevelts and the Royals: Franklin and Eleanor, the King and Queen of England, and the Friendship That Changed History","Swift, Will",2004,35,9.82,3.98
9780471459620,"The Roosevelts and the Royals: Franklin and Eleanor, the King and Queen of England, and the Friendship That Changed History","Swift, Will",2004,35,9.82,3.98
9780805069594,"Franklin Delano Roosevelt: The American Presidents Series: The 32nd President, 1933-1945",Roy Jenkins,2003,35,11.99,3.98
9780679415428,"FDR: The War President, 1940-1943: A History","Davis, Kenneth S.",2000,39.95,24.57,3.97
9781594204357,Rendezvous with Destiny: How Franklin D. Roosevelt and Five Extraordinary Men Took America into the War a nd into the World,"Fullilove, Michael",2013,29.95,8.98,3.83
9780547775241,"The Mantle of Command: FDR at War, 1941–1942 (1)","Hamilton, Nigel",2014,30,16.96,3.82
9780375505003,Franklin and Winston: An Intimate Portrait of an Epic Friendship,"Meacham, Jon",2003,32,17.69,3.79
9780684810270,"The Conquerors: Roosevelt, Truman and the Destruction of Hitler's Germany, 1941-1945","Beschloss, Michael R.",2002,26.95,8.74,3.79
9780375502460,Roosevelt's Secret War: FDR and World War II Espionage,"Persico, Joseph E.",2001,0.00,9.63,3.74
9780375502460,Roosevelt's Secret War: FDR and World War II Espionage,"Persico, Joseph E.",2001,0.00,9.63,3.74
9780688090999,Roosevelt and Marshall: Partners in Politics and War,"Parrish, Thomas",1989,25,15.0,3.74
9780688090999,Roosevelt and Marshall: Partners in Politics and War,"Parrish, Thomas",1989,25,15.0,3.74
